State,Year,Month,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
Virginia,2009,1,0.016883612903225806,0.025193548387096774,12.24731182795699,23.365591397849464,0.4161023333333333,0.5698924731182796,9.10752688172043,6.56989247311828,5.3165214731182795,12.602150537634408,9.849462365591398,17.881720430107528,14.515450784946236,29.397849462365592,10.989247311827956,27.78494623655914
Virginia,2009,2,0.028310273809523806,0.03439285714285715,11.19047619047619,31.761904761904763,0.41140877380952384,0.5119047619047619,6.773809523809524,5.892857142857143,3.5374258928571427,8.833333333333334,11.571428571428571,12.607142857142858,10.446991285714287,24.357142857142858,11.25,22.928571428571427
Virginia,2009,3,0.029092702127659572,0.03626595744680851,12.0,33.58510638297872,0.38720981914893615,0.4606382978723404,6.351063829787234,5.457446808510638,2.7023238829787237,7.76595744680851,11.23404255319149,11.085106382978724,10.952537882978724,23.98936170212766,11.542553191489361,22.606382978723403
Virginia,2009,4,0.03683462711864406,0.04632203389830509,11.372881355932204,45.771186440677965,0.3731991525423729,0.4525423728813559,5.720338983050848,5.262711864406779,2.0529041016949154,6.5423728813559325,10.567796610169491,9.305084745762711,10.615353127118643,25.228813559322035,10.88135593220339,23.76271186440678
Virginia,2009,5,0.027738709677419354,0.03658064516129032,10.903225806451612,34.29032258064516,0.09470270967741935,0.16129032258064516,4.451612903225806,1.7741935483870968,1.9764663548387096,8.419354838709678,8.67741935483871,12.03225806451613,12.245129870967741,26.64516129032258,13.35483870967742,25.129032258064516
Virginia,2009,6,0.03311996666666667,0.0436,11.333333333333334,43.43333333333333,0.07652769999999999,0.14666666666666667,5.333333333333333,1.4666666666666666,2.1386183333333335,6.033333333333333,11.433333333333334,8.666666666666666,12.2218723,23.0,12.166666666666666,21.666666666666668
Virginia,2009,7,0.03411516666666667,0.04463333333333333,10.1,41.86666666666667,0.18375003333333334,0.25333333333333335,5.966666666666667,2.8666666666666667,1.4748930666666666,6.133333333333334,11.0,8.866666666666667,10.9337969,22.033333333333335,9.4,20.666666666666668
Virginia,2009,8,0.03447138709677419,0.04809677419354839,10.03225806451613,48.064516129032256,0.1811380322580645,0.24193548387096775,3.7419354838709675,2.6129032258064515,1.2032012580645162,8.548387096774194,11.870967741935484,12.064516129032258,12.220517387096775,24.967741935483872,9.774193548387096,23.612903225806452
Virginia,2009,9,0.024121833333333335,0.03436666666666666,10.666666666666666,33.4,0.17504623333333333,0.28,5.866666666666666,3.1333333333333333,0.4479806666666667,3.1333333333333333,7.066666666666666,4.533333333333333,13.2428968,27.533333333333335,13.166666666666666,25.966666666666665
Virginia,2009,10,0.016158516129032255,0.02441935483870968,11.258064516129032,22.580645161290324,0.3091397419354839,0.45483870967741935,8.03225806451613,5.258064516129032,0.62313,3.2580645161290325,8.35483870967742,4.645161290322581,14.872388645161289,26.870967741935484,13.64516129032258,25.35483870967742
Virginia,2010,3,0.0,0.0,22.0,0.0,0.466667,0.9,23.0,10.0,2.363636,5.0,5.0,7.0,17.47619,52.0,20.0,49.0
Virginia,2010,4,0.034346999999999996,0.0446,10.266666666666667,42.266666666666666,0.07310196666666664,0.19,7.066666666666666,2.0,0.48461396666666673,1.5333333333333334,6.866666666666666,2.0,14.716324000000002,33.13333333333333,10.1,31.266666666666666
